# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.90186e-317;1.84286e-321
jffs2_readpage;789;9.90523e-317;1.84781e-321
jffs2_readpage;789;9.9039e-317;1.85275e-321
jffs2_readpage;789;9.90173e-317;1.85769e-321
jffs2_readpage;789;9.90472e-317;1.86263e-321
jffs2_readpage;789;1.00114e-316;1.86757e-321
jffs2_readpage;789;1.0011e-316;1.87251e-321
jffs2_readpage;789;1.0012e-316;1.87745e-321
jffs2_readpage;789;1.00123e-316;1.88239e-321
jffs2_readpage;789;9.90678e-317;1.88733e-321
jffs2_readpage;972;9.9423e-317;1.89721e-321
jffs2_readpage;789;1.00132e-316;1.90215e-321
jffs2_readpage;789;1.00135e-316;1.90709e-321
jffs2_readpage;789;1.00138e-316;1.91203e-321
jffs2_readpage;789;1.00146e-316;1.91697e-321
jffs2_readpage;789;1.00148e-316;1.92192e-321
jffs2_readpage;789;1.00151e-316;1.92686e-321
jffs2_readpage;789;1.00154e-316;1.9318e-321
jffs2_readpage;789;1.00139e-316;1.93674e-321
jffs2_readpage;789;9.87338e-317;1.94168e-321
jffs2_readpage;789;1.00167e-316;1.94662e-321
jffs2_readpage;789;1.0017e-316;1.95156e-321
jffs2_readpage;789;1.00174e-316;1.9565e-321
jffs2_readpage;789;1.00177e-316;1.96144e-321
jffs2_readpage;789;1.00182e-316;1.96638e-321
jffs2_readpage;789;1.00186e-316;1.97132e-321
jffs2_readpage;789;1.00188e-316;1.97626e-321
jffs2_readpage;789;9.90993e-317;1.9812e-321
jffs2_readpage;789;9.90862e-317;1.98614e-321
jffs2_readpage;789;9.90925e-317;1.99108e-321
jffs2_readpage;789;9.9083e-317;1.99603e-321
jffs2_readpage;789;9.90621e-317;2.00097e-321
